pre_text,airline_sentiment
varios pedimos ser mas humanos #verguenzadelaire # aniversario #megustavolar,negative
claro reduciendo rutas internacionales dolares ahora lleva ejemplo volvio,negative
queda menos airnostrumofficial,neutral
vuelos baratisimos enero no puedo ir universidad oprime no descanso just,positive
asi accidente vuelo spanair letal españa decadas video,negative
penosa gestion vuelo marrakech madrid h pasajer,negative
si no dan solucion intente navegadores diferentes siempre pasa mismo voy demandar,negative
wajajajaja ahi quedaste unica gracia hiciste año ganarle colo colo,neutral
absoluto resto compañias podran concurrir licitacion abierta,negative
verguenza aun cm siquiera digne pedir menos disculpas mole,negative
lanza colombia programa on business,positive
priority snobs clase obrera,neutral
wuajajajjaja venganza po wn :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:,negative
no no no no niego totalmente espero cancelen vuelos no pueda llegar,negative
trabaje ustedes venezuela feliz navidad,positive
tampoco puedo tan siquiera cargar portal inicio hace menos media hora,neutral
busca tecnicos mantenimiento trabajar madrid barcelona,neutral
madrid,neutral
hola pasajeros siendo grupo dejado pasar maleta :briefcase: seguido,negative
# aniversarioiberia primer vuelo,positive
aerolinea estrellas une buenos aires madrid vuelos directos,neutral
verdad alucinante unica repuesta puedes po,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,positive
peor contratado retraso cambiaron,neutral
no llora no mama,neutral
oleada huelgas navidades via,negative
ok muchas gracias info,positive
:airplane_departure: regreso #frombcntoscq #thankssister #seeubcn,neutral
ofrece medianoche hoy cien mil billetes euros volar enero alicante,positive
necesito envien comprobante equipaje compre telefonicamente,neutral
ineptitud rechazo dia,negative
maletas rigidas bicis si metemos caja carton siempre riesgo,neutral
pa pegarse puto tiro,negative
proba lineas aereas medio oriente contestan dan like siempre,neutral
desaloja varias chicas avion comportarse animales,negative
maleta perdida oct vuelo ib lamentable servicio seguimiento caso esper,negative
excelente noticia to recognise pilot unions to avert strike action via,positive
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,negative
llega primer #duelodemarcas marketingdirecto vs easyjet nuevo año nuevos proyectos,neutral
plaza españa sevilla,neutral
compañia supuestamente calidad quiere cobrar cambio billete nuev,negative
vuelos euros black friday,positive
si gran noticia,positive
before flying ba rt share favor pasajeros demor,negative
# ene #colegiomedicobo #bolivia,neutral
rt favor pasajeros demora devolucion dinero jodamoslos retuiteemos compartam,negative
pilotos ganan acepta existe representacion laboral,negative
personal tierra reunido buscando solucion vuelo completo,negative
pasajero avion sale puerta emergencia #qrr #mundo #avion #pasajero #guardicivil #londres,negative
update aparecido bastante bien decir,positive
solicitar tarjeta fisica mandais solo hacerse plus,neutral
si probe servidor lleno formulario trato enviarlo pagina queda blanco,neutral
aun viento bien aterriza aeropuerto igualito k loiu,neutral
pasado mismo siquiera decencia contestarme mensajes direc,negative
vuelo largo air europa hago visita mercadoña goooooldo entra hambre,neutral
viernes tio ayer secuestrados horas cabina agua siquiera ahora dias ma,negative
nueve compañias cancelan vuelos turquia descenso turismo,negative
vaya luis animo paciencia vueling dejado hijo pa,negative
hola argentina,negative
verguenza,negative
debate interminable absurdo catalan explican derrochamos,neutral
modificaron vuelo retrasaron cambiaron aerolinea opera no avisaron entere,negative
cierra millones pasajeros #noticiasdeturismo,negative
sr gallego no pagais indemnizaciones cancelaciones aviacion civil brita,negative
sindicatos barcelona mantienen huelga jueves domingo via,negative
despues años aceptar trabajadores agrupen sindicatos,positive
vuelan moscu tel aviv malabo mierda,negative
mil gracias :smiling_face:,positive
como puedo saber solicitud tarjeta icon,neutral
si pilotos juntos hijo :squinting_face_with_tongue:,neutral
comentario escribe relatos octubre iv tripulacion mairenmairenmu olivia #re,neutral
mejor vuelo vida gracias experiencia inolvidable duda excelente equipo sigan asi,positive
mas fotos,neutral
movil pagina,neutral
hola podriais favor mandarme pm problemas checkin,neutral
si stranger things,neutral
increible q vuelo horas guinea ecuatorial cueste ir santo domingo horas,neutral
pilotos convocan primera huelga historia d via,negative
castiga bilete avion,negative
empresa belga reclama euros cancelaciones retrasos otoño,negative
no perdido maletas semana,positive
iremos finde no queda curro probablemente viernes tarde,neutral
express pone venta billetes cinco euros compañia celebra quinto aniversario,positive
sigo saber maleta despues dias maleta correspondiente identificador,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
asi easy jet,negative
no pudieron describir mejor ilusion primer vuelo viaje paseo avion acompañe siempre,positive
encanta ver lados :smiling_face_with_heart-eyes:,positive
muchas gracias regalo navidad alcance ilusionar tiquete españa solo c,neutral
antena com contraataca express ofrece asientos baratos despues promocion vuelo,neutral
ehhh tb paso vuelo luego suerte ronda exitos movida,positive
muchas gracias obligarme ir via judicial mercantil despues casi año reclamando traves l,negative
alguien lamenta no vuelve cometer mismo fallo varias veces viendo m,negative
dios precios mas alucinantes :face_screaming_in_fear:,positive
no pidas,neutral
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
si pobre viajas no se como cojones podras hacer fotos tan tmblr partirte espalda,negative
jeans combinaban alpargatas,positive
odioo nadie compre #airline #lospeores,negative
indignada creo q podeis entenderlo verdad,negative
huele apesta,negative
siempre viajamos hoy no podemos hacerlo costo pasajes moneda superdevsluada dolor profundo,negative
asi accidente vuelo spanair letal españa decadas video,negative
obligan facturar maletas todavia no,neutral
#puebla pasajero vuelo compañia londres malaga sur españa sento,negative
trata pillarlo dias vuelo sabado,neutral
matriz british airways quiere subirse bordo aerolinea niki,neutral
japon directo vuelo tokyo dias tax incl,negative
tarjeta plus clasica quisiera registrar vuelo efectuado dias,neutral
sentados maleta dmano bodega xq mla quitan no embarco cual politica d equipaje ma,negative
ustedes evolucionen aumenten menos centimetros sillas no mundo mide,negative
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
no entiendo bien h decis solo puede hacer ci,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
aun sigo esperando puse reclamacion junio mejor compañia españa :thinking_face:,negative
ida vuelta mia asientos centrales pared ultima junto baño no dejar elegir asiento pagar mal,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,positive
espacio sentirte autentica lata sardinas emocion vuelo ib bilbao,negative
miradas :smiling_face_with_heart-eyes: #a miguel servet #t s #lemd #felizviernes,neutral
enseñen enccontrar valijas pierdien diario no devuelven,negative
oneworld – consulta plus puedo sumar avios si,neutral
asi accidente vuelo spanair letal españa decadas #video,neutral
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
responderme md favor,negative
puede usar junto tarjetas fidelizacion gracias,neutral
spanair virtual queremos desearos unas felices fiestas prospero año nuevo nunca perdais ganas d,positive
express celebra quinto aniversario oferta plazas euros,positive
procedente mad llegando nrt #a,neutral
deberiamos hacer huelga viajeros ultima cutreria cobrar si quieres sentarte,negative
como posible dejado san jose maletas pasajeros volabamos,negative
fa,neutral
rey tormentas aterrizaje emergencia asi primer vuelo hace años,neutral
atreve semejante barbaridad salvamos vidas no solo miles cabo año comentario,negative
madrid,neutral
entrenan derrochar antipatia eligen asi,negative
bogota paris amor :face_blowing_a_kiss: bon jour #holaeuropa,positive
gracias juanje sencillito verdad agradec,positive
penalizacion vigo inaceptable igual hacia falta competencia,negative
sera tan complicado ida vuelta avios codigo reserva no deja hacer ahora chec,negative
comida pago cuanto costo vuelo wifi,neutral
debe haber competencia menos mercantilismo dejen operar jetblue,negative
favor compartir pasa cobran instantaneamente ventas tien,negative
promocion black friday,positive
rt favor pasajeros demora devolucion dinero jodamoslos retuiteemos compartam,negative
sep mayor miedo pierda ultimo tren voy marcarme tom hanks,neutral
barato rapido estrecho movidito desventaja :face_with_tears_of_joy:,neutral
#empleo seleccion tripulantes cabina sevilla malaga granada compañia,neutral
cercanias cada vez parece vuelo hoy solo falta pasen rasca gana,negative
cortando dni ver presentais querais coger vuelito baratito cuan,negative
d no broma si digo siempre tratan feten :smiling_face_with_heart-eyes: casi convenzo azafata des,positive
imposible hacer check in campo apellidos dando error vuelo mañana,negative
gracias majos se puedo contar :smiling_face_with_smiling_eyes:,positive
busca convertirse amazon viajes oficinas madrid #socialmedia,neutral
cago dios vea vuelos españa navidad compre hace par meses saliese,negative
tambien feliz,positive
no ningun tipo incidencia lanzo oferta black friday ve,neutral
analizara consell ayudas firmas mientras preve crecer valencia,neutral
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
formulario web pedia numero vuelo ser comprado traves vueling no pudimos enviarlo,neutral
curiosidades madrid lt gt barcelona avion pesetas costo primer billete,positive
comparando billete familiar comprado mismo momento no cancelado compruebo,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
retrasado vuelo cago,negative
escudo nueva musica bordo lista titulos canciones poneis bordo duran,positive
aplaza pago embarcar maleta mano,neutral
buenas tardes reserve dos vuelos puntos ib plus error puse mal nombre p,negative
no funciona joven,negative
saben cantidad valijas pierde diario no devuelve,negative
amazon google alibaba seur ponentes destacados eshow,neutral
crece crece aqui detras,neutral
compañia segunda llames yte digan maleta libras reservando an,negative
#iberiaexpress #engaño #tarifasbajas encuentras #vuelobarato no acepta tarjeta pones tarjeta,negative
no no party,negative
feliz traiga alguien especial visita gracias :airplane_departure: mad :airplane_arrival: bog :grinning_face: :grinning_face: :beaming_face_with_smiling_eyes: :beaming_face_with_smiling_eyes:,positive
siento apretadito,negative
ayer intentando sacar vuelos web cada busqueda devuelve pagina principal,negative
#marketing marta rios direccion marketing direccion general adidas,neutral
hermoso pais #holacolombia #holaiberia,neutral
precisamente no oficializo anulacion xq igualmente pierdo dos maner,negative
aprox volando sabado lunes alsa viernes domingo :person_shrugging: :medium-light_skin_tone: ‍ :female_sign: ️,neutral
cierra millones pasajeros año anterior,neutral
leiva avion pasando,neutral
san nicola arcella :airplane: ️ :airplane: ️ :airplane: ️ :beach_with_umbrella: ️,positive
splash screen a b via,negative
fans #thecure topaste,neutral
recomendacion hoy no voleis nunca espacio servicio nulo caro problemas siempre ma,negative
pilotos irlanda alemania italia portugal van huelga justo,negative
gracias :sparkling_heart:,positive
saben cantidad valijas pierde diario no devuelve,negative
copa varios cancelaron preguntale sito jaja,negative
#goodbye #barcelona #ggb #illbeback #nicetrip aeropuerto prat terminal,positive
encanta volar demostrar toda gente critica seguros puntuales dive,positive
hola billete sacado web puedo conseguir billete fisico factura web no coje,neutral
record visitas reservas pagina web semana ofertas black friday,positive
obligatorio hacer check in online,negative
norwegian desafia billetes menos euros nueva york madrid,neutral
nombras aqui normativa aqui aerolinea,neutral
viajar abre mente hace descubrir rincones momentos nunca podras olvidar,positive
no ofertas sevilla,neutral
pagina web operativa no logro ingresar,negative
espero vuelo conexion madrid destino coruña espere retraso londres,neutral
complicadillo karlos dejaron volar hace casi año abz felices fiestas,negative
chollo express vuela solo solo hoy h vuela diciembre marzo,neutral
compañias hijas puta luego cobra aire respiras avion,negative
favor señores mas respeto pasajeros pasajero,negative
inaugura nuevo espacio premium t s madrid barajas clientes,positive
web va peor echenique skate basura dios,negative
sempre,positive
enhorabuena felicidades años vuelos ilusiones,neutral
disparates dicen vuela hoy menos hace cinco años vuelos año,negative
trabajas año negro poder llevar familia nochebuena españa enseñarles mundo,negative
ahm,neutral
ridiculo mañana salir volver entrar zona puertas embarque check in viniendo,negative
comprar vuelos tiempo ahi voy meco comprando hace mes,neutral
jajajaja no creo nadie canse grosso ud mix objetividad humild,positive
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
vuelo ida madrid glasgow vuelta edimburgo madrid easyjet aun no deja hacer check in genial,negative
quierooooooo,positive
felicidades favio,neutral
ver volado tampoco pa no vas morir xd,neutral
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,positive
web acogio vueling justi,negative
empresa belga reclamara euros cancelaciones,negative
si rica compraba hacerme unas carreritas colegas #quiensequedeantessincombudtiblepierde #ellobodegranvia,positive
verdad lanzaron vuelos avisar medio ademas pagina no funciona,negative
verdad pasara vuelos fantasmas,neutral
#ryanairespaña puedes,positive
gracias :smiling_face_with_smiling_eyes:,positive
bravo olorcito no deberian dejar subir gente mal olor tortura viaje,negative
vergonzosa compañia amparada venden manta dormir almohada n,negative
hola pregunta tonta billete business puedo usar lounge cualquier aeropuerto,neutral
#takeoff #despegue vuelta españa 🇪🇸,neutral
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,neutral
indemnizar digo acabo siendo rentable cada situacion personal distinta,neutral
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,neutral
mañana hare vuelo oporto puedo llevar tarjeta embarque movil,neutral
compres dos billetes juntos den asientos separados penado carcel desahucios,negative
tonto diputado viaja primera clase,neutral
:face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: volver no necesita votos necesita billete :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:,neutral
hacer anexionarnos portugal formar,neutral
nunca hecho,negative
hola gustaria hablar discriminacion sistematica pmr enviais dm,negative
japon directo vuelo tokyo dias tax incl,negative
discrimina viajar niños no puedo cambiar asientos viajar niños,negative
rellenarlo mano enviarlo escaneado esperar ocho dias puedan resolver problema,negative
vueling ultimos subir facturar equipaje mano siento no,neutral
rey tormentas aterrizaje emergencia asi primer vuelo hace años,negative
si no vemos no culpa :flushed_face: voy hacer horas vuelo q,neutral
gracias x permitirme viajar #barcelona #santander km x pesos,positive
vomos jajaj,neutral
lanza primera campaña año vuelos nacionales euros eeuu euros,positive
asi impresionantes vistas despegamos #hondarribia,positive
billetes dejan poner :face_with_rolling_eyes:,negative
inaugura nuevo espacio premium sentirte reina rey,positive
no sabes no mira casualidad hace volvi espa,neutral
hola cancelado vuelo ibe diciembre ahora pasado ibe casi h despu,negative
embarques cada vez sorprendentes mal demasiado lio vuelo bio mad,negative
buenas tardes queria preguntarles acerca tiempo minimo necesario t conexion dos vuelos gracias,neutral
hijos p,negative
venga colombia,neutral
no posibilidad cambio debe cancelar comprar billete no normal vuelvo lla,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
volara san francisco managua,positive
vuelo low cost bcn eze quiero saber como abonar plus permite equipaje bodega,neutral
apuntala rutas reino unido brexit licencia operador pais,neutral
pasajero aparentemente harto esperar sorprendio viajeros abrir puerta emer,negative
no pierdas º dia semana #blackfriday encontraras #vuelos solo tr,positive
lufthansa destrona lidera transporte pasajeros europa,neutral
#tipicodenavidad pierda maleta valga madres darte respuesta,negative
retrasa vuelo explicacion no respeta tarifa reservada h espera aqui df h,negative
gracias vuelo avion bien estrese pagar euros q tomarme tranquilizante,positive
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
suertudas aquellas personas puedan pagarse vuelo oferta cinco euros consiguient,positive
iag grupo vueling compra austriaca niki quiebra via,neutral
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
problema pagina no reconoce sesion ver si mañana,negative
lnfs tenerife toscal itea cordoba resumen pasado sabado tenerife,neutral
desafio leary sepla niega reconocer sindicato via,negative
viajando rompieron equipaje hice reclamo pedi envien hotel sevilla quis,negative
hago audio nair contandole aventura no encontre mando audio miro hacia izquierda puesto :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:,neutral
jajajajajaja asi duermo billete costara tb :grinning_face_with_sweat:,negative
reconocera sindicatos pilotos evitar huelgas navidad,positive
hola hago ib mad eze quisiera saber si asiento clase economica dispone,neutral
basado emotividad contenido enric pardo director exaprint,neutral
justo hoy enterado padre protopijo futbol español sebas losada,neutral
pilotos irlanda desconvocan huelga diciembre,positive
intentado hacer check in online vuelo origen oslo operado no posible debido,negative
colectivo pilotos decidido unirse formar españa propia seccion sindical dentro sepl,positive
si menos gestion equipaje eficiente,negative
dicho mear no hechas gota :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy: :face_with_tears_of_joy:,neutral
gracias :smiling_face_with_smiling_eyes:,neutral
cancelan vuelos barcelona aerolineas argentinas aumentan vuelos semanales,neutral
mln mad mln ida dic vuelta dic euros residentes increible,negative
años volando pues si suerte alternativas trato,negative
no puede seer jajjaa,negative
haciendo check in vuelo mañana incluyo facturar maleta no maner,neutral
si vas votas rufian juro entonces no solamente no vuelvo dirigir palabra sino q,negative
recuerdo problemas gestion mierdungas asi ademas asientos madera :face_with_tears_of_joy: deje u,negative
quise ir vuelo directo vi detalle gusto demasiado cutre eleji opcio,negative
cn destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
papa noel dejo pasajeros destino paraiso,neutral
muchas gracias feliz haber viajado ustedes excelente servicio :clapping_hands: :clapping_hands: :clapping_hands:,positive
quejaba menos no olia sobaco ajo avion :face_vomiting:,negative
hoy enterado cancelacion vuelo comprado noviembre destino punta cana llamada i,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
regalando billetes gratis mundo despues cancelacion vuelos,neutral
hombre aun asi mejor vueling veces,positive
oferta vuelos vigo barcelona euros,positive
guay vivir misma epoca :party_popper:,positive
tonto conseguido pasaje vuelo embarque priority si amenazas gente c,negative
#holaargentina :globe_showing_Americas: viajare conocerte gracias,neutral
cerdos deberian irse pique compañia no vuelos seguro algun hiperventilado salta,negative
#cumpleañosfeliz daniela gran detalle personal vuelo felicitar pasajera :OK_hand: vuelo ib,neutral
oye atencion telefonica call center colombiano nefasto,negative
sufre primera huelga pilotos historia #controligestio,neutral
ahora podremos disfrutar ficciones sonoras mientras volamos aliado,positive
pibe trabajar,negative
horas media cola servicio atencion cliente barajas queda minimo ot,negative
loginewses contratara nuevos tripulantes cabina españa,neutral
sres inconveniente x cual vuelo pasaje bordo sigue pista aeropuerto ezeiza,negative
huelga pilotos irlanda amenaza extenderse paises by agencias via ultimas noticias,neutral
viajero frecuente quiero salida emergenci,negative
deciden cambiar vuelos no avisarme entero entrar confirmar hor,negative
duele avisa si consigues alguna indemnizacion casos no unicos,negative
twitter oficial deportes puerto montt confirmo llegada atacante javier guarino ex sum,negative
quitan app escapa dedito vez #yyavanunascuantas :see-no-evil_monkey: :airplane_departure: :globe_showing_Europe-Africa:,neutral
hace años viviendo soria decia despues familia real cogera no tren cartage,neutral
empresa no parar no reconoce seccion sindical creada pilotos españa via,negative
moderniza lounge no aeroporto madri #salavelazquez,positive
nunca gesto amable dispuesto cosa propia servicio avion deberia disculparse pasajeros,negative
verdad dia hoy cosas baratas viajar euros ida vuelta,positive
gran servicio retraso h min vuelo esperando autobus,negative
gran marketing cruzado felicito pd usuario s,positive
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
klm ame volar aerolinea tratamiento reyes hice no venian venezuela,positive
champion no vuele descarados,negative
buenas noches enviado dm saludos,negative
barajas tomar vuelo madrid palma valija igual no asi embarque menos mal,positive
normal,negative
si claro necesitamos h saber maleta perdida ropa,negative
matriz british airways quiere subirse bordo aerolinea niki #publicidad #newspublicidad,neutral
plus cumple años queremos celebrarlo contigo manera especial elige numero favorito,positive
seguro venderian billete ala protesto no respaldo,negative
ello como posible billete electronico especifique cambios posi,negative
peor servicio traten usar aerolinea no pasen mal tiempo,negative
tema debieron ser honestos primer dia no enviar correo empresa diciendo qu,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,positive
aviones sido siempre american diferente ida vuelta,neutral
bueno usarlos no decision aerolinea ae,neutral
hola buscando objeto perdido web no consigo recuperar pueden ayudar,negative
baraja #vintage,neutral
numero ilegal aun usan casi empresas administracion no detiene,negative
no espera compañia refe,negative
logica suele decir partido controla colegios electorales relentiza recuento pa,negative
pagar asiento respectiva prioridad embarque acabar autobus medio avion cuela,negative
migando puto mail,negative
aparecen level dos cost,neutral
sigo esperando alguien conteste telefono casualidad diciendo palabra abono todavia no,negative
audio technica nuevo modelo sido diseñado ofrecer solucion #monitorizacion personal,positive
puedo comprar billetes avion españa travez hijo trayecto bs as madrid solo ida muchas gracias,neutral
comodo cualquier aerolinea acostumbrado,neutral
felicitarse crecimiento vuelos nacionales internacionales condenar maltrato c,neutral
mera miedo equivocarme jaja,neutral
ganador mayor edad puede llevar acompañante hijo menor edad,neutral
vas tener vuelos avril,neutral
correccion haceis doy oportunidad atendais,neutral
gracias dejarme maletas escala tan absurda no alcanzan meter maletas aun no responden h,negative
personal tierra españa convoca huelga proximo dia diciembre,neutral
reclutara oviedo nuevos tripulantes cabina toda europa noviembre,neutral
debe ser igual viajes cortos equipaje funcionaria bien,positive
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,positive
asi accidente vuelo spanair letal españa decadas video,neutral
tecnologia entoces hace años unio madrid barcelona pesetas cuanto costaria hoy bil,neutral
ganas matar,negative
enemigos culta cientifica llevan siendo mismos hace siglos imposible no sen,neutral
gracias gusto poder ayudar saber peludo hogar amen corazon :folded_hands: :medium-light_skin_tone:,positive
avion asientos vacios asi cabina lamentable email tacto sabe cuidar clien,negative
se mientras compro billetes no da opcion comprar bebe siempre comprarl,negative
#majoalparque parque in bogota distrito capital w,neutral
destino solo click deseadme suerte #holacolombia hola destinos europeos mejor precio,neutral
paro horas pilotos aerolinea deja vuelos retrasos plena epoca navideña,negative
siempre dice pin no correcto pido nuevo mandan mail tampoco,neutral
h tirados aeropuerto lpa averia avion mad averia explico pilo,negative
huelgas aeropuertos amenazan vacaciones navideñas cientos pasajeros,negative
sindicatos convocan huelga colectivo tierra españa partir diciembre,neutral
estrena lunes vuelo vitoria colonia,neutral
tripulacion vuelo #mad #mex atrapados aeropuerto queretaro,negative
no sabe usted digan grupos hoteles vueling reservas no c,negative
espero no viajara seguro cobran billetes,negative
quieres decir momento reserva aviso indicando pedira presentacion tarjeta,neutral
peor servicio cliente visto vida no peor si ustedes #lopeor,negative
#irlanda pilotos aerolinea iniciaron huelga mejores remuneraciones salariales,neutral
perdido maletas varios pasajeros,negative
hotel comida peor trato humano horas retenidos dentro,negative
asi nueva sala premium aeropuerto madrid barajas,neutral
satisfecho vuelo diciembre quito madrid quisiera hacer queja,negative
rt favor pasajeros demora devolucion dinero jodamoslos retuiteemos compartam,negative
web no carga app tampoco funciona puedo comprar billetes promocion,negative
desastre pierden maletas aeropuerto scl hacen desatendidos echan culpa,negative
si elijo viajar pequeño trolley xq no quiero perder media hora esperando x equipaje verguenza,negative
aquest vueling pique no els van denunciar spanair,neutral
karla sanchez denise maerker paola rojas imitan grupo limite via,neutral
mayor problema asumir reglas juego iguales no,negative
intentando comprar billetes web rechazaron tarjetas distintos bancos paises,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
busca convertirse amazon viajes oficinas via,positive
llevas pleno vuelos retrasados,negative
inaugura nuevo espacio premium sentirte reina rey,positive
hola buenos dias vuelo ib madrid londres salida madrid va vuelo hora gracias,neutral
hecho comun escuchar personal puerta usted baje abajo ver,negative
hola nuevo alguna novedad respecto huelga personal tierra aeropuerto prat sigo,negative
hola sentados avion bajan problemas tecnicos cancelan vuelo vas pedir comprobante retrasado ib,negative
parecido roban cara,negative
hola cantidad baterias pueden llevar cabina bodega gracias,neutral
voy cagar toda puta estampa,negative
dicen no sacan pasajes ar paran paso listita tampoco pueden saca,negative
vuelo londres malaga pasajero polaco cansa,negative
oferta #empleo #tcp busca auxiliares vuelo #diciembre #madrid #barcelona,neutral
pienso darles turra cuartel menos entiendan razon queja ustedes veran,negative
suerte experiencia sido siempre buena compañia toda empresa siempre puede,positive
paseito parra xry lejr ii pequeñines airbus ec kmd peti,neutral
puente aereo madrid barcelona llegando mostrador dan vuelo h acabais perder cliente,negative
vueling cabeza retrasos aeropuertos,negative
coño haciendo agosto,negative
contratara personas madrid,positive
retrasa enero cambio politica equipaje mano,neutral
iag grupo vueling compra austriaca niki quiebra,neutral
ciao salute enteren pasados anos :smiling_face_with_halo: 🇪🇸🇮🇹,neutral
no puedes ser reclutara españa nuevos tripulantes,neutral
embarcando vuelo medio avion intentando cambiar asientos no separarse parejas,negative
procurare no repostar cepsa puñetera tarjeta wizink bank tras pagando religio,negative
mande mensaje directo,neutral
hola buenas tardes termino vuelo desorden ocasiona servicio genera,negative
querido viaje berlin no significa sepa aleman entender correos :beaming_face_with_smiling_eyes: :beaming_face_with_smiling_eyes:,neutral
llanto no,negative
cancelaciones afectaran pasajeros marzo,negative
pasado reciente condena renuncia temuco desciende riesgo,negative
vuelo mandan,neutral
anuncia ultimas novedades digitales dentro programa siempre mejorando,neutral
vuelo roma madrid va retraso hora como proceder gracias,negative
sindicatos irlanda portugal suspenden paros navideños,negative
gracias responder algun telefono cdmx,positive
#holacolombia :raised_back_of_hand: #holaeuropa quiero ir diciembre abrazo,neutral
grande final approach madrid #a,neutral
finalizada año compañia aerea mayor numero pasajeros mueve españa ranking,neutral
rt favor pasajeros demora devolucion dinero jodamoslos retuiteem,negative
aumentara oferta vuelos argentina,positive
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,negative
no llora no mama frase jamas dicha,negative
miserable idea cobrar elegir asiento intento volar menos posible,negative
macrodemanda tripulantes cabina españa multiplicidad contratos #somositf,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,neutral
tarda menos dos horas amargar oferta aniversario express cuidado rya,negative
llamo vuelo ahora cuesta terminar reserva cuelgan vuelvo llamar robot habl,negative
acabo aniversario express,negative
unica solucion dado despues insistir recolocarme vuelo,negative
parece mala especialmente viajes largos parece miserable,negative
hacer check in online implica mama ir adelante pilotos atra,negative
retrasa enero cambio politica equipaje mano,neutral
puntos quiero vuelos gran accion fidelizacion competir,negative
vuelvo ocasiones aeropuerto maleta horario dicen nuevo no nadie vosotro,negative
casualidad no llega tres horas no puede reclamar bravo,negative
duda hace dias cancelaron vuelo cambiaron aeropueto no consegui llegar casa,negative
no escuche vida deja confirmen,neutral
no problema low cost problema permisividad debilidad exigencia normas p,negative
suma competencia estrategia crecer peru via,neutral
huelga pilotos dublin,negative
reconocera sindicatos pilotos interlocutores,positive
hace tres dias intento enviar fax modificar dato factura sigo esperando respue,neutral
encima avian,negative
imposible apoyar portatil mesita mierda avion,negative
pensaba vuelos todavia existia hoja reclamaciones ir hacerlo pagina web no sabido encontrar,negative
primero embarcan bussines a despues resto salvo personas niños necesidades especiales,negative
iag transporto pasajeros gracias empuje,neutral
unas personas esperar siete horas aeropuerto girona poder volar pisa ryan,negative
llevo intentos hacer reclamacion pagina formulario no funciona da,negative
iag compra niki millones refuerza posicion vueling palma via,neutral
black friday mirando dias economicos vaya robo navidad :Christmas_tree:,negative
llegue mail embarcando vuelo invitaran :winking_face:,negative
recuerdo perdi enlace llegue destino km distancia horas retraso #graciasiberia,negative
miercoles noviembre no puedes perder webinar tp link monetizacion r,positive
dos hermanos intoxicaron comida vuelo avisar tripulacion,negative
destino solo click deseadme suerte #holaargentina hola destinos europeos mejor precio,negative
tal dia hoy hace años rey alfonso xiii presidio acto inauguracion primer vuelo comercial,positive
sufre primera huelga pilotos historia berlin no pudo evitar viernes primera hu,negative
gracias respuesta ahora solo falta encontrar cojin staff hablaremos dia,negative
japon directo vuelo tokyo dias tax incl,neutral
ninguno xq retrasan vuelos mejor viajo x,positive
canal estadounidense recrea video accidente spanair,neutral
pagamos precios excesivos viajar #madrid #menorca trayecto no residentes,negative
si facturacion online casi echarse temblar :person_facepalming: :light_skin_tone: ‍ :male_sign: ️,negative
engañando usuarios vez ahora resulta puente aereo pagado puntos no puedes subir,negative
hacerle favor mejor forma hacerlo sacar rutas aereas usada,negative
hola llevo dias intentando buscar vuelos pagina web imposible selecciono destinos,negative
leuros solucionan,neutral
querido podeis hacer mismo febrero favor,positive
gracias responder si mismas condiciones puede volar usa no cambiad co,negative
pocos dias volar ibiza madrid enlazar vuelo emirates dubai puedo factu,neutral
